"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"INDEL B SPA";"Electronics";"275100";"";"Emilia Romagna ";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"109";"5";"28";"47";"3";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"67653";"";"";"106957";"";"23244";"";"";"";"15599";"207";"";"No";"No";"No";"554";"288";"40";"0";"8414";"";"21";"52";"27";"";"0";"10";"90";"119.pdf";"INDEL B DNF2022.pdf"
"INFRASTRUTTURE WIRELESS ITALIANE SPA";"Telecommunications ";"619099";"";"Lombardia ";"Si";"DNF-Volontaria ";"Bilancio-integrato";"Report-separato ";"127";"4";"10";"18";"10";"Si";"Si";"Si";"Si";"Si (2021-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD; UN Global Compact; IR Framework";"TCFD; UN Global Compact; IR Framework";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey ";"3028";"195124";"53";"";"49958";"2787431";"";"";"5437";"102833";"77423";"8";"Si";"No";"No";"158";"98";"45";"16";"";"";"35";"457";"508";"";"0";"36";"44";"120.pdf";"INFRASTRUTTURE WIRELESS ITALIANE SPA_DNF_2022.pdf"
"INTERCOS GROUP";"Manufacturing ";"204200";"";"Lombardia ";"Si";"Societa-azioni-quotate";"DNF";"Report-separato ";"135";"1";"28";"20";"8";"Si";"No";"Si";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD";"TCFD";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK ";"8827";"23727";"10413";"";"";"322383";"";"458788";"";"1520171";"1145";"";"Si";"No";"No";"1403";"2350";"3636";"47";"953";"";"18";"64";"18";"";"";"";"";"121.pdf";"INTERCOS GROUP DNF2022.pdf"
"INTERPUMP GROUP";"Machine and Plant ";"282990";"";"Emilia Romagna ";"Si";"Societa-azioni-quotate";"DNF";"Report-separato ";"102";"5";"13";"13";"19";"Si";"Si";"No";"No";"Si (2020-2022)";"Si";"No";"Si";"Si";"Si";"Si";"In accordance with";"SASB";"SASB";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey ";"17407";"60908";"72879";"";"";"811499";"";"342247";"";"3838133";"1716";"6926";"Si";"No";"No";"7115";"1697";"40";"115";"";"";"153";"545";"3018";"";"0";"30";"70";"122.pdf";"INTERPUMP GROUP_DNF_2022.pdf"
"INTESA SANPAOLO";"Banks";"641910";"";"Piemonte ";"Si";"Societa-azioni-quotate";"DNF";"Report-separato ";"329";"51";"27";"55";"39";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"With reference to";"TCFD; SASB; UN Global Compact; IR Framework";"TCFD; SASB; UN Global Compact; IR Framework";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK ";"59030";"110075";"16838";"";"50532";"2353715";"";"";"1762000";"470954";"196";"137";"Si";"No";"No";"43980";"50929";"42";"278";"833";"471";"7";"501";"429";"";"0";"0";"100";"123.pdf";"INTESA SANPAOLO_DNF_2022.pdf"
"IRCE";"Electronics";"273200";"";"Emilia Romagna ";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"33";"1";"3";"4";"4";"No";"No";"No";"No";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"3658";"31592";"43072";"";"";"475458";"";"87800";"";"509754";"12714";"";"No";"No";"No";"553";"63";"428";"58";"";"";"";"";"";"";"0";"286";"714";"124.pdf";"IRCE DNF2022.pdf"
"IREN";"Utilities";"351300";"";"Emilia Romagna ";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato ";"381";"25";"51";"59";"35";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"With reference to";"TCFD; UN Global Compact ";"TCFD; UN Global Compact ";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"3459223";"";"93547";"";"4041122";"50188763";"";"477505";"";"77763177";"3357";"";"Si";"Si";"Si";"7914";"2669";"53";"234";"944";"473";"11";"40";"49";"53";"0";"40";"60";"125.pdf";"IREN_DNF_2022.pdf"
"ITALGAS";"Energy";"352200";"";"Lombardia ";"Si";"Societa-azioni-quotate";"Bilancio-integrato";"Incluso-nella-Relazione-sulla-Gestione";"250";"8";"10";"32";"9";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD; IR Framework; UN Global Compact";"TCFD; IR Framework; UN Global Compact";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"141000";"6200";"200";"";"137500";"472000";"";"69070";"";"1791128";"40";"5067";"Si";"Si";"Si";"3024";"653";"444";"247";"";"48";"142";"289";"569";"";"0";"111";"888";"126.pdf";"ITALGAS_DNF_2022.pdf"
"ITALIAN EXHIBITION GROUP SPA";"Services ";"823000";"";"Emilia Romagna ";"Si";"Societa-azioni-quotate";"DNF";"Report-separato ";"61";"5";"8";"21";"2";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"UN Global Compact ";"UN Global Comapact ";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"1507";"";"";"4852";"";"82078";"";"86598";"";"237822";"283";"";"No";"No";"No";"197";"334";"228";"3333";"";"";"25";"59";"16";"";"0";"65";"35";"127.pdf";"ITALIAN EXHIBITION GROUP SPA_DNF_2022.pdf"
"ITALMOBILIARE";"Financial Services ";"701000";"";"Lombardia ";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato ";"128";"7";"11";"17";"4";"Si";"Si";"Si";"No";"Si (2020-2022)";"Si";"No";"Si";"Si";"Si";"Si";"In accordance with";"TCFD; UN Global Compact";"TCFD; UN Global Compact";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"633125";"662759";"0";"";"1485927";"186042";"";"4169";"";"280108";"1336";"7127";"Si";"No";"No";"542";"463";"42";"213";"";"";"";"";"";"";"";"";"";"128.pdf";"ITALMOBILIARE_DNF_2022.pdf"
"ITAS MUTUA";"Financial Services ";"651200";"";"Trentino-Alto Adige";"Si";"Servizi-Finanziari";"Bilancio-di-sostenibilita";"Report-separato ";"180";"8";"8";"20";"10";"Si";"No";"Si";"Si";"Si (2020-2022)";"Si";"No";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"323";"10687";"6399";"";"175";"17716";"";"";"";"";"245";"126";"No";"No";"No";"393";"316";"125";"259";"8936";"";"52";"578";"37";"";"0";"292";"708";"129.pdf";"ITAS MUTUA_DNF_2022.pdf"
"KEDRION SPA";"Chemicals";"212009";"";"Toscana ";"No";"Altro-EIPR-obbligato";"Bilancio-di-sostenibilita";"Report-separato";"48";"1";"7";"27";"1";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"30122";"35982";"";"";"";"801658";"";"1756294";"";"576429";"1421";"";"No";"No";"No";"2338";"2312";"";"335";"";"";"4448";"4583";"968";"";"";"";"";"132.pdf";"KEDRION_DNF_2022.pdf"
"KME GROUP SPA";"Manufacturing";"701";"";"Toscana ";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato ";"102";"2";"17";"9";"4";"Si";"No";"No";"No";"Si (2022)";"Si";"Si";"No";"No";"No";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"";"66809";"102434";"150369";"";"";"2196481";"";"3069400";"815500";"1478327";"10786";"8865";"Si";"No";"No";"2546";"417";"40";"";"";"";"1123";"4282";"4993";"";"";"";"";"133.pdf";"KME GROUP SPA_DNF_2022.pdf"
"LA CASSA DI RAVENNA SPA";"Banks";"641910";"";"Emilia Romagna ";"Si";"Servizi-finanziari";"DNF";"Report-separato ";"93";"6";"6";"17";"8";"Si";"Si";"Si";"Si";"Si (2021-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"764";"1318";"2309";"";"";"30718";"";"";"";"";"45";"269";"Si";"No";"No";"494";"480";"333";"24";"836";"";"43";"4";"53";"73";"0";"8";"92";"134.pdf";"LA CASSA DI RAVENNA SPA_DNF_2022.pdf"
"LA DORIA";"Food and Beverage ";"103000";"";"Campania";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato ";"127";"9";"17";"18";"2";"Si";"Si";"Si";"Si";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"SASB; UN Global Compact ";"SASB; UN Global Compact ";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"51876";"8282";"14515";"";"568613";"1122670";"";"2571000";"440000";"36728664";"8315";"5";"Si";"Si";"Si";"707";"191";"4545";"4";"9133";"";"178";"5779";"2438";"";"0";"3636";"6363";"228.pdf";"Bilancio-di-Sostenibilita-2022-Gruppo-La-Doria"
"LANDI RENZO";"Automotive ";"293209";"";"Emilia Romagna ";"Si";"Societa-azioni-quotate";"DNF ";"Incluso-nella-Relazione-sulla-Gestione";"124";"6";"14";"22";"8";"Si";"Si";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"138651";"";"";"299459";"";"50940";"";"17620";"";"1160";"468";"";"Si";"No";"No";"681";"254";"375";"3714";"";"40";"29";"45";"25";"53";"0";"50";"50";"135.pdf";"LANDI RENZO DNF2022.pdf"
"LEONARDO";"Aerospace ";"303009";"";"Lazio";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"110";"5";"17";"18";"24";"Si";"Si";"Si";"Si";"Si (2018-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD; SASB; UN Global Compact; IR Framework";"TCFD; SASB; UN Global Compact; IR Framework";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK ";"213107";"";"63924";"";"";"5435000";"";"5329000";"";"3307263";"539";"";"Si";"No";"Si";"41628";"9764";"42";"14";"";"";"11";"53";"36";"56";"";"";"";"136.pdf";"LEONARDO DNF2022.pdf"
"LU-VE GROUP";"Technology";"282500";"";"Lombardia ";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato ";"169";"6";"15";"18";"27";"Si";"No";"Si";"Si";"Si (2020-2022)";"Si";"No";"No";"No";"No";"Si";"In accordance with";"TCFD";"TCFD";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"81412";"176814";"161366";"";"";"296748";"";"257118";"";"1158337";"1262";"155";"Si";"No";"No";"2281";"1042";"3636";"6";"8951";"";"20";"58";"22";"";"0";"0";"100";"137.pdf";"LU-VE GROUP_DNF_2022.pdf"
"MAIRE TECNIMONT";"Machine and Plant ";"711210";"";"Lazio";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato ";"220";"22";"17";"30";"7";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD; UN Global Compact";"TCFD; UN Global Compact";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK ";"8917";"";"8167";"";"1878884";"125406";"";"208779";"";"7604";"264";"244";"Si";"No";"No";"5161";"1290";"44";"957";"9544";"43";"1046";"6589";"2363";"60";"0";"133";"866";"138.pdf";"MAIRE TECNIMONT_DNF_2022.pdf"
"MARR SPA";"Food and Beverage ";"469000";"";"Emilia Romagna ";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato ";"149";"7";"17";"77";"8";"No";"No";"No";"No";"Si (2020-2022)";"Si";"No";"Si";"Si";"No";"Si";"With reference to";"";"";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"51949";"";"";"2124252";"1708283";"25436509";"";"239594";"";"303966";"2274";"932";"Si";"Si";"Si";"674";"283";"43";"12";"9727";"";"9";"50";"41";"61";"0";"0";"100";"139.pdf";"MARR SPA_DNF_2022.pdf"
"MASSIMO ZANETTI BEVERAGE GROUP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NULL"
"MEDIASET";"Media and Publishing ";"701000";"";"Lombardia ";"No";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato";"227";"28";"4";"20";"36";"Si";"Si";"No";"No";"Si (2021-2022)";"Si";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"3718";"26398";"59";"";"";"368000";"";"";"";"1383712";"619";"69";"Si";"No";"No";"2514";"2344";"40";"3056";"";"";"557";"4219";"5222";"";"";"";"";"140.pdf";"MEDIASET_DNF_2022.pdf"
"MEDIOBANCA";"Banks";"641910";"";"Lombardia ";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"206";"8";"13";"35";"5";"Si";"Si";"No";"No";"Si (2021-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD; SASB; UN Global Compact ";"TCFD; SASB; UN Global Compact ";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"340318";"650318";"6274";"";"77459";"14033165";"";"304086";"";"6068";"198";"2275";"Si";"No";"No";"2911";"2105";"40";"163";"76";"43";"10";"71";"19";"";"0";"0";"100";"141.pdf";"MEDIOBANCA_DNF_2022.pdf"
"MEDIOCREDITO CENTRALE SPA";"Financial Services ";"662100";"";"Lazio";"Si";"Servizi-Finanziari";"DNF";"Report-separato";"96";"6";"11";"23";"9";"No";"No";"No";"No";"Si (2021-2022)";"Si";"No";"Si";"No";"Si";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"1052";"2835";"4976";"";"";"55674";"";"";"";"";"305";"2035";"No";"No";"No";"1635";"1263";"40";"143";"";"";"33";"476";"491";"";"0";"0";"100";"142.pdf";"MEDIOCREDITO CENTRALE DNF2022.pdf"
"MEXEDIA SPA - SOCIET";"Technology";"642";"";"Lazio";"Si";"DNF Volontaria";"DNF";"Report-separato";"78";"2";"2";"9";"11";"Si";"Si";"Si";"Si";"";"No";"No";"No";"No";"No";"No";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"";"";"";"";"";"";"";"";"";"";"";"";"Si";"Si";"Si";"8";"3";"20";"0";"";"";"";"90";"";"";"0";"40";"60";"143.pdf";"Mexedia_dnf_2022.pdf"
"MITTEL SPA";"Financial Services";"681000";"";"Lombardia ";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"75";"6";"9";"18";"4";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"With reference to";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1387987";"434359";"774764";"";"5194847";"339595";"";"160067";"13758";"17924684";"167555483870968";"643";"Si";"No";"No";"620";"930";"43";"230769230769231";"";"";"114193548387097";"521290322580645";"364516129032258";"";"0";"57";"43";"144.pdf";"Mittel.Dichiarazione-consolidata-di-carattere-non-finanziario-al-31.12.2022.pdf"
"MM";"Construction and Engineering";"421200";"";"Lombardia";"Si";"Altro-EIPR-obbligato";"Bilancio-di-sostenibilita";"Report-separato";"153";"16";"24";"36";"4";"Si";"Si";"No";"No";"Si (2020-2022)";"Si";"No";"Si";"Si";"No";"Si";"In accordance with";"TCFD";"TCFD";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"6524";"36719";"";"";"";"619369";"";"243516000";"";"7657492122";"315872899926954";"6222";"Si";"No";"No";"942";"427";"40";"3333";"";"";"489";"6092";"3411";"";"0";"20";"80";"145.pdf";"MM_DNF2022.pdf"
"MONCLER";"Textile";"141310";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"208";"6";"21";"37";"8";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"SASB; UN Global Compact; TCFD";"SASB; UN Global Compact; TCFD";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"2043";"13278";"1948";"";"260343";"174622";"";"58000";"7193937";"1282318748";"273676703645008";"603";"Si";"Si";"Si";"1969";"4341";"42";"37";"9158";"368";"33";"54";"13";"";"0";"17";"83";"146.pdf";"Moncler.Dichiarazione-Consolidata-Non-Finanziaria-2022.pdf"
"MONNALISA SPA";"Textile";"141";"";"Toscana";"Si";"DNF Volontaria";"DNF";"Report-separato";"141";"7";"22";"39";"5";"Si";"Si";"Si";"Si";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"IR Framework";"IR Framework";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"8666";"29139";"2491";"";"111224";"3623";"";"";"2181";"";"129153846153846";"6862746809";"Si";"No";"No";"55";"257";"0";"45";"";"42";"108974358974359";"673076923076923";"217948717948718";"";"0";"60";"40";"147.pdf";"MonnalisaSPA.DNF_2022.pdf"
"MONRIF";"Financial Services";"640000";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"144";"5";"19";"22";"5";"No";"No";"No";"No";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"2197";"3959";"5744";"";"";"76776";"";"79500";"";"2461461";"150063051702396";"57";"Si";"No";"No";"44408";"34892";"42";"25";"84";"";"42";"355";"396";"";"0";"33";"67";"148.pdf";"Monrif S.p.A.Dichiarazione consolidata di carattere non finanziario 31.12.2022.pdf"
"MUNDYS SPA (precedentemente ATLANTIA SPA)";"Utilities";"701000";"";"Lazio";"Si";"Altro-EIPR-obbligato";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"209";"44";"25";"26";"17";"Si";"Si";"Si";"Si";"Si (2019-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"IR Framework";"IR Framework";"Si";"No";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey ";"142610";"66088";"39898";"";"1639049";"3345000";"";"6473000";"";"656369065";"104808803069269";"29";"Si";"No";"No";"15008";"8711";"43";"235";"87";"";"154517475441629";"589147940469666";"256334584088705";"58";"0";"14";"86";"149.pdf";"MUNDYS_2022_WEB_ITA.pdf"
"NEODECORTECH SPA";"Manufacturing";"172309";"";"Lombardia";"Si";"DNF Volontaria";"DNF";"Report-separato";"93";"4";"19";"18";"2";"Si";"Si";"Si";"No";"Si (2021-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"254986";"19457";"0";"";"";"1261581";"";"1514500";"";"8377539508";"6861075";"802";"Si";"No";"No";"344";"56";"444444444444444";"111111111111111";"";"";"85";"475";"44";"";"0";"0";"100";"150.pdf";"NEODECORTECHSPAdnf.pdf"
"NEWLAT FOOD SPA";"Food and Beverage";"106100";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"102";"4";"24";"20";"2";"Si";"Si";"Si";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"49751";"32048";"41354";"";"";"1324086";"";"4138865";"";"14215407";"562599360438556";"";"Si";"Si";"Si";"1595";"594";"41666";"740740740740741";"";"";"148";"465052";"38693";"474285714285714";"8333";"50";"41666";"151.pdf";"Newlat-Food.Bilancio-2022.pdf"
"NEXI";"Financial Services";"649209";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"188";"8";"10";"34";"5";"Si";"Si";"No";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD";"TCFD";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"52566";"97029";"66658";"";"400373";"2352957";"";"857400";"";"2475625858";"209000676524597";"";"Si";"No";"No";"6000";"4347";"38";"223";"807";"";"101";"599";"301";"";"0";"23";"77";"152.pdf";"Nexi.2022-dnf.pdf"
"NOVAMONT SPA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NULL"
"OPENJOBMETIS";"Services";"782000";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"116";"1";"8";"40";"3";"Si";"Si";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"1414";"";"";"279";"";"7257";"";"";"";"";"213224181360202";"";"Si";"No";"No";"178";"616";"40";"29";"8775";"40";"1460957179";"7141057935";"1397984887";"";"0";"10";"90";"153.pdf";"Openjobmetis.Dichiarazione Consolidata di carattere non Finanziario 2022.pdf"
"ORSERO SPA";"Food and Beverage";"463110";"";"Lombardia";"SI";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato";"150";"4";"16";"20";"2";"Si";"No";"Si";"No";"Si (2021-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"223801";"12476";"16749";"";"";"308288261";"";"618000";"";"22655286287";"148055002925688";"";"Si";"No";"No";"1143";"566";"20";"11";"81";"";"18";"57";"25";"";"0";"45";"55";"154.pdf";"Orsero.Bilanciodisostenibilit"
"OVS";"Manufacturing";"471910";"";"Veneto";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato";"226";"5";"28";"33";"7";"Si";"Si";"Si";"Si";"Si (2021-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"TCFD";"TCFD";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"8118";"39643";"2576";"";"426237";"667348";"";"596634";"";"12131310763";"614090520922289";"709291351305695";"Si";"Si";"Si";"1779";"6418";"44";"247524752475248";"";"";"109652286827298";"703505987591978";"285528783725292";"";"0";"11";"89";"155.pdf";"OVS_bilancio_di_sostenibilita.pdf"
"PANARIAGROUP";"Manufacturing";"233100";"";"Emilia Romagna";"No";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato";"194";"10";"26";"20";"2";"Si";"No";"Si";"No";"Si (2021-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey ";"144066";"46664";"57816";"";"";"3025468";"";"412000";"";"7918784";"144503488372093";"758936648089558";"Si";"No";"No";"1188";"532";"0";"166666666666667";"";"";"924418604651163";"515697674418605";"391860465116279";"";"0";"0";"100";"156.pdf";"PANARIAGROUP_BDS_2022.pdf"
"PIAGGIO";"Automotive";"309112";"";"Toscana";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"117";"6";"15";"35";"7";"Si";"No";"Si";"Si";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"16221";"38392";"45574";"";"5142985";"564688";"";"609000";"293000";"15095051";"171611853374443";"82";"Si";"No";"No";"4575";"1263";"";"6";"";"";"14";"56";"30";"";"";"";"";"157.pdf";"Piaggio_bilancio_2022_italiano.pdf"
