ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,COD_FoET2013,DESC_FoET2013,Genere,DOTTORI
2022,08701,Catania - Universita' degli studi,Sicilia,08,"Agriculture, forestry, fisheries and veterinary",F,8
2022,08701,Catania - Universita' degli studi,Sicilia,08,"Agriculture, forestry, fisheries and veterinary",M,6
2022,08701,Catania - Universita' degli studi,Sicilia,09,Health and welfare,F,10
2022,08701,Catania - Universita' degli studi,Sicilia,09,Health and welfare,M,10
2022,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,01,Education,F,2
2022,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,01,Education,M,1
2022,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,02,Arts and humanities,M,1
2022,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,03,"Social sciences, journalism and information",F,2
2022,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,03,"Social sciences, journalism and information",M,1
2022,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,04,"Business, administration and law",F,5
2022,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,04,"Business, administration and law",M,5
2022,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,07,"Engineering, manufacturing and construction",F,2
2022,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,07,"Engineering, manufacturing and construction",M,4
2022,08301,Messina - Universita' degli studi,Sicilia,02,Arts and humanities,F,6
2022,08301,Messina - Universita' degli studi,Sicilia,02,Arts and humanities,M,5
2022,08301,Messina - Universita' degli studi,Sicilia,03,"Social sciences, journalism and information",F,5
2022,08301,Messina - Universita' degli studi,Sicilia,03,"Social sciences, journalism and information",M,1
2022,08301,Messina - Universita' degli studi,Sicilia,04,"Business, administration and law",F,8
2022,08301,Messina - Universita' degli studi,Sicilia,04,"Business, administration and law",M,5
2022,08301,Messina - Universita' degli studi,Sicilia,05,"Natural sciences, mathematics and statistics",F,19
2022,08301,Messina - Universita' degli studi,Sicilia,05,"Natural sciences, mathematics and statistics",M,15
2022,08301,Messina - Universita' degli studi,Sicilia,06,Information and Communication Technologies (ICTs),F,1
2022,08301,Messina - Universita' degli studi,Sicilia,06,Information and Communication Technologies (ICTs),M,1
2022,08301,Messina - Universita' degli studi,Sicilia,07,"Engineering, manufacturing and construction",F,6
2022,08301,Messina - Universita' degli studi,Sicilia,07,"Engineering, manufacturing and construction",M,15
2022,08301,Messina - Universita' degli studi,Sicilia,08,"Agriculture, forestry, fisheries and veterinary",F,5
2022,08301,Messina - Universita' degli studi,Sicilia,08,"Agriculture, forestry, fisheries and veterinary",M,4
2022,08301,Messina - Universita' degli studi,Sicilia,09,Health and welfare,F,8
2022,08301,Messina - Universita' degli studi,Sicilia,09,Health and welfare,M,5
2022,08201,Palermo - Universita' degli studi,Sicilia,01,Education,F,2
2022,08201,Palermo - Universita' degli studi,Sicilia,02,Arts and humanities,F,9
2022,08201,Palermo - Universita' degli studi,Sicilia,02,Arts and humanities,M,2
2022,08201,Palermo - Universita' degli studi,Sicilia,03,"Social sciences, journalism and information",F,1
2022,08201,Palermo - Universita' degli studi,Sicilia,03,"Social sciences, journalism and information",M,2
2022,08201,Palermo - Universita' degli studi,Sicilia,04,"Business, administration and law",F,7
2022,08201,Palermo - Universita' degli studi,Sicilia,04,"Business, administration and law",M,8
2022,08201,Palermo - Universita' degli studi,Sicilia,05,"Natural sciences, mathematics and statistics",F,26
2022,08201,Palermo - Universita' degli studi,Sicilia,05,"Natural sciences, mathematics and statistics",M,28
2022,08201,Palermo - Universita' degli studi,Sicilia,06,Information and Communication Technologies (ICTs),F,2
2022,08201,Palermo - Universita' degli studi,Sicilia,06,Information and Communication Technologies (ICTs),M,2
2022,08201,Palermo - Universita' degli studi,Sicilia,07,"Engineering, manufacturing and construction",F,11
2022,08201,Palermo - Universita' degli studi,Sicilia,07,"Engineering, manufacturing and construction",M,29
2022,08201,Palermo - Universita' degli studi,Sicilia,08,"Agriculture, forestry, fisheries and veterinary",F,2
2022,08201,Palermo - Universita' degli studi,Sicilia,08,"Agriculture, forestry, fisheries and veterinary",M,4
2022,08201,Palermo - Universita' degli studi,Sicilia,09,Health and welfare,F,3
2022,08201,Palermo - Universita' degli studi,Sicilia,09,Health and welfare,M,12
2022,08003,Reggio Calabria - Universita' per Stranieri,Calabria,03,"Social sciences, journalism and information",F,1
2022,08003,Reggio Calabria - Universita' per Stranieri,Calabria,03,"Social sciences, journalism and information",M,1
2022,08003,Reggio Calabria - Universita' per Stranieri,Calabria,04,"Business, administration and law",F,1
2022,08003,Reggio Calabria - Universita' per Stranieri,Calabria,04,"Business, administration and law",M,1
2022,08001,Reggio Calabria - Universita' degli studi Mediterranea,Calabria,03,"Social sciences, journalism and information",F,1
2022,08001,Reggio Calabria - Universita' degli studi Mediterranea,Calabria,04,"Business, administration and law",F,4
2022,08001,Reggio Calabria - Universita' degli studi Mediterranea,Calabria,04,"Business, administration and law",M,3
2022,08001,Reggio Calabria - Universita' degli studi Mediterranea,Calabria,05,"Natural sciences, mathematics and statistics",F,2
2022,08001,Reggio Calabria - Universita' degli studi Mediterranea,Calabria,07,"Engineering, manufacturing and construction",F,10
2022,08001,Reggio Calabria - Universita' degli studi Mediterranea,Calabria,07,"Engineering, manufacturing and construction",M,3
2022,08001,Reggio Calabria - Universita' degli studi Mediterranea,Calabria,08,"Agriculture, forestry, fisheries and veterinary",F,7
2022,08001,Reggio Calabria - Universita' degli studi Mediterranea,Calabria,08,"Agriculture, forestry, fisheries and veterinary",M,1
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,02,Arts and humanities,F,6
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,02,Arts and humanities,M,3
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,03,"Social sciences, journalism and information",F,1
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,03,"Social sciences, journalism and information",M,2
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,04,"Business, administration and law",F,2
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,04,"Business, administration and law",M,6
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,05,"Natural sciences, mathematics and statistics",F,24
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,05,"Natural sciences, mathematics and statistics",M,13
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,06,Information and Communication Technologies (ICTs),F,2
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,06,Information and Communication Technologies (ICTs),M,3
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,07,"Engineering, manufacturing and construction",F,11
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,07,"Engineering, manufacturing and construction",M,18
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,09,Health and welfare,F,3
2022,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,09,Health and welfare,M,1
2022,07601,Potenza - Universita' degli studi della Basilicata,Basilicata,02,Arts and humanities,F,8
2022,07601,Potenza - Universita' degli studi della Basilicata,Basilicata,02,Arts and humanities,M,5
2022,07601,Potenza - Universita' degli studi della Basilicata,Basilicata,03,"Social sciences, journalism and information",F,1
2022,07601,Potenza - Universita' degli studi della Basilicata,Basilicata,03,"Social sciences, journalism and information",M,1
2022,07601,Potenza - Universita' degli studi della Basilicata,Basilicata,04,"Business, administration and law",F,1
2022,07601,Potenza - Universita' degli studi della Basilicata,Basilicata,05,"Natural sciences, mathematics and statistics",F,2
2022,07601,Potenza - Universita' degli studi della Basilicata,Basilicata,05,"Natural sciences, mathematics and statistics",M,2
